Series ID,Year,Period,Label,Value
CIU2023211000000I,2011,Q01,2011 Qtr1,116.2
CIU2023211000000I,2011,Q02,2011 Qtr2,116.8
CIU2023211000000I,2011,Q03,2011 Qtr3,117.4
CIU2023211000000I,2011,Q04,2011 Qtr4,117.3
CIU2023211000000I,2012,Q01,2012 Qtr1,119.6
CIU2023211000000I,2012,Q02,2012 Qtr2,119.9
CIU2023211000000I,2012,Q03,2012 Qtr3,120.6
CIU2023211000000I,2012,Q04,2012 Qtr4,120.6
CIU2023211000000I,2013,Q01,2013 Qtr1,122.7
CIU2023211000000I,2013,Q02,2013 Qtr2,123.7
CIU2023211000000I,2013,Q03,2013 Qtr3,124.3
CIU2023211000000I,2013,Q04,2013 Qtr4,124.4
CIU2023211000000I,2014,Q01,2014 Qtr1,127.0
CIU2023211000000I,2014,Q02,2014 Qtr2,127.4
CIU2023211000000I,2014,Q03,2014 Qtr3,127.8
CIU2023211000000I,2014,Q04,2014 Qtr4,127.7
CIU2023211000000I,2015,Q01,2015 Qtr1,130.5
CIU2023211000000I,2015,Q02,2015 Qtr2,130.9
CIU2023211000000I,2015,Q03,2015 Qtr3,131.4
CIU2023211000000I,2015,Q04,2015 Qtr4,131.3
CIU2023211000000I,2016,Q01,2016 Qtr1,133.6
CIU2023211000000I,2016,Q02,2016 Qtr2,134.2
CIU2023211000000I,2016,Q03,2016 Qtr3,134.5
CIU2023211000000I,2016,Q04,2016 Qtr4,134.7
CIU2023211000000I,2017,Q01,2017 Qtr1,137.4
CIU2023211000000I,2017,Q02,2017 Qtr2,138.0
CIU2023211000000I,2017,Q03,2017 Qtr3,138.5
CIU2023211000000I,2017,Q04,2017 Qtr4,138.4
CIU2023211000000I,2018,Q01,2018 Qtr1,141.1
CIU2023211000000I,2018,Q02,2018 Qtr2,141.2
CIU2023211000000I,2018,Q03,2018 Qtr3,141.2
CIU2023211000000I,2018,Q04,2018 Qtr4,141.5
CIU2023211000000I,2019,Q01,2019 Qtr1,143.8
CIU2023211000000I,2019,Q02,2019 Qtr2,144.1
CIU2023211000000I,2019,Q03,2019 Qtr3,144.1
CIU2023211000000I,2019,Q04,2019 Qtr4,144.1
CIU2023211000000I,2020,Q01,2020 Qtr1,145.5
CIU2023211000000I,2020,Q02,2020 Qtr2,147.3
CIU2023211000000I,2020,Q03,2020 Qtr3,148.1
CIU2023211000000I,2020,Q04,2020 Qtr4,148.2
CIU2023211000000I,2021,Q01,2021 Qtr1,149.9
CIU2023211000000I,2021,Q02,2021 Qtr2,150.7
CIU2023211000000I,2021,Q03,2021 Qtr3,150.3
CIU2023211000000I,2021,Q04,2021 Qtr4,150.2
CIU2023211000000I,2022,Q01,2022 Qtr1,153.5
CIU2023211000000I,2022,Q02,2022 Qtr2,154.5
CIU2023211000000I,2022,Q03,2022 Qtr3,155.3
CIU2023211000000I,2022,Q04,2022 Qtr4,155.9
CIU2023211000000I,2023,Q01,2023 Qtr1,158.2
CIU2023211000000I,2023,Q02,2023 Qtr2,159.7
CIU2023211000000I,2023,Q03,2023 Qtr3,159.9
CIU2023211000000I,2023,Q04,2023 Qtr4,159.9
CIU2023211000000I,2024,Q01,2024 Qtr1,163.3
CIU2023211000000I,2024,Q02,2024 Qtr2,163.8
CIU2023211000000I,2024,Q03,2024 Qtr3,164.1
CIU2023211000000I,2024,Q04,2024 Qtr4,166.1
CIU2023211000000I,2025,Q01,2025 Qtr1,170.2
CIU2023211000000I,2025,Q02,2025 Qtr2,171.850
CIU2023211000000I,2025,Q03,2025 Qtr3,172.809
